a b angulo 
3.45e-08 1.87e-08 1.31 
3.53e-08 1.82e-08 1.31 
3.61e-08 1.76e-08 1.31 
3.68e-08 1.71e-08 1.31 
3.76e-08 1.66e-08 1.31 
3.84e-08 1.61e-08 1.31 
3.92e-08 1.55e-08 1.31 
4.00e-08 1.50e-08 1.31 
2.50e-08 2.50e-08 1.37 
2.58e-08 2.45e-08 1.37 
2.66e-08 2.39e-08 1.37 
2.74e-08 2.34e-08 1.37 
2.82e-08 2.29e-08 1.37 
2.89e-08 2.24e-08 1.37 
2.97e-08 2.18e-08 1.37 
3.05e-08 2.13e-08 1.37 
3.13e-08 2.08e-08 1.37 
3.21e-08 2.03e-08 1.37 
3.29e-08 1.97e-08 1.37 
3.37e-08 1.92e-08 1.37 
3.45e-08 1.87e-08 1.37 
3.53e-08 1.82e-08 1.37 
3.61e-08 1.76e-08 1.37 
3.68e-08 1.71e-08 1.37 
3.76e-08 1.66e-08 1.37 
3.84e-08 1.61e-08 1.37 
3.92e-08 1.55e-08 1.37 
4.00e-08 1.50e-08 1.37 
2.50e-08 2.50e-08 1.44 
2.58e-08 2.45e-08 1.44 
2.66e-08 2.39e-08 1.44 
2.74e-08 2.34e-08 1.44 
2.82e-08 2.29e-08 1.44 
2.89e-08 2.24e-08 1.44 
2.97e-08 2.18e-08 1.44 
3.05e-08 2.13e-08 1.44 
3.13e-08 2.08e-08 1.44 
3.21e-08 2.03e-08 1.44 
3.29e-08 1.97e-08 1.44 
3.37e-08 1.92e-08 1.44 
3.45e-08 1.87e-08 1.44 
3.53e-08 1.82e-08 1.44 
3.61e-08 1.76e-08 1.44 
3.68e-08 1.71e-08 1.44 
3.76e-08 1.66e-08 1.44 
3.84e-08 1.61e-08 1.44 
3.92e-08 1.55e-08 1.44 
4.00e-08 1.50e-08 1.44 
2.50e-08 2.50e-08 1.51 
2.58e-08 2.45e-08 1.51 
2.66e-08 2.39e-08 1.51 
2.74e-08 2.34e-08 1.51 
2.82e-08 2.29e-08 1.51 
2.89e-08 2.24e-08 1.51 
2.97e-08 2.18e-08 1.51 
3.05e-08 2.13e-08 1.51 
3.13e-08 2.08e-08 1.51 
3.21e-08 2.03e-08 1.51 
3.29e-08 1.97e-08 1.51 
3.37e-08 1.92e-08 1.51 
3.45e-08 1.87e-08 1.51 
3.53e-08 1.82e-08 1.51 
3.61e-08 1.76e-08 1.51 
3.68e-08 1.71e-08 1.51 
3.76e-08 1.66e-08 1.51 
3.84e-08 1.61e-08 1.51 
3.92e-08 1.55e-08 1.51 
4.00e-08 1.50e-08 1.51 
2.50e-08 2.50e-08 1.57 
2.58e-08 2.45e-08 1.57 
2.66e-08 2.39e-08 1.57 
2.74e-08 2.34e-08 1.57 
2.82e-08 2.29e-08 1.57 
2.89e-08 2.24e-08 1.57 
2.97e-08 2.18e-08 1.57 
3.05e-08 2.13e-08 1.57 
3.13e-08 2.08e-08 1.57 
3.21e-08 2.03e-08 1.57 
3.29e-08 1.97e-08 1.57 
3.37e-08 1.92e-08 1.57 
3.45e-08 1.87e-08 1.57 
3.53e-08 1.82e-08 1.57 
3.61e-08 1.76e-08 1.57 
3.68e-08 1.71e-08 1.57 
3.76e-08 1.66e-08 1.57 
3.84e-08 1.61e-08 1.57 
3.92e-08 1.55e-08 1.57 
4.00e-08 1.50e-08 1.57 
